days,I_0,k,L_N,z_mix,temp,zoo_bm
0,0.088,0.121,1,53,5.2,1.3
15,0.094,0.121,1,53,4.1,1.4
30,0.112,0.124,1,51,3.2,1.7
45,0.138,0.128,1,48,2.7,2.6
60,0.174,0.136,1,45,2.4,4.2
75,0.212,0.145,1,40,2.5,5.8
90,0.247,0.159,1,32,2.7,7.5
105,0.272,0.2,1,23,3.4,8.9
120,0.29,0.205,0.95,19,4.5,17.2
135,0.306,0.17,0.92,18,5.9,19.3
150,0.321,0.17,0.9,15,7.6,18.8
165,0.329,0.17,0.88,11,9.7,14
180,0.319,0.17,0.82,10,11.8,6.9
195,0.302,0.17,0.76,9,13.9,6.2
210,0.284,0.165,0.69,9,15.5,6
225,0.267,0.162,0.63,10,16.3,5.7
240,0.25,0.159,0.6,11,16.6,5.1
255,0.23,0.154,0.59,13,16.4,4.5
270,0.204,0.145,0.63,16,15.5,3.9
285,0.174,0.138,0.69,20,14.2,3.3
300,0.144,0.131,0.77,27,12.4,3.2
315,0.115,0.126,0.85,37,10.5,2.6
330,0.094,0.121,0.92,45,8.5,2
345,0.086,0.121,0.97,50,6.7,1.6
